YEAR,MONTH,DATE,SITE,TRANSECT,SECTION,SIDE,FRONDS,HLD_DIAM,MULT_PLANT,OBS_CODE,NOTES,ENTERED_BY,CHECKED_BY
2018,9,9/13/2018,MESA,2,20-40,OFFSHORE,44,55,,JC,,TW,RZ
2018,9,9/13/2018,MESA,2,0-20,OFFSHORE,36,68,,JC,,TW,RZ
2018,9,9/14/2018,MESA,3,40-20,OFFSHORE,105,69,,144,,TW,RZ
2018,9,9/14/2018,MESA,3,40-20,OFFSHORE,65,80,,144,,TW,RZ
2018,9,9/14/2018,MESA,3,40-20,OFFSHORE,43,60,,144,,TW,RZ
2018,9,9/14/2018,MESA,3,0-20,OFFSHORE,4,.,,144,,TW,RZ
2018,9,9/14/2018,MESA,3,0-20,OFFSHORE,3,30,,144,,TW,RZ
2018,9,9/14/2018,MESA,3,0-20,OFFSHORE,56,90,,144,,TW,RZ
2018,9,9/14/2018,MESA,3,0-20,OFFSHORE,13,45,,144,,TW,RZ
2018,9,9/14/2018,MESA,3,0-20,OFFSHORE,12,45,,144,,TW,RZ
2018,9,9/14/2018,MESA,3,0-20,OFFSHORE,82,90,,144,,TW,RZ
2018,9,9/14/2018,MESA,3,0-20,INSHORE,37,43,,144,,TW,RZ
2018,9,9/14/2018,MESA,3,0-20,INSHORE,5,36,,144,,TW,RZ
2018,9,9/14/2018,MESA,3,0-20,INSHORE,11,20,,144,,TW,RZ
2018,9,9/14/2018,MESA,3,0-20,INSHORE,56,100,,144,,TW,RZ
2018,9,9/14/2018,MESA,3,0-20,INSHORE,16,30,,144,,TW,RZ
2018,9,9/14/2018,MESA,3,0-20,INSHORE,55,100,,144,,TW,RZ
2018,9,9/14/2018,MESA,3,0-20,INSHORE,33,80,,144,,TW,RZ
2018,9,9/14/2018,MESA,3,0-20,INSHORE,11,30,,144,,TW,RZ
2018,9,9/14/2018,MESA,3,0-20,INSHORE,19,20,,144,,TW,RZ
2018,9,9/14/2018,MESA,3,0-20,INSHORE,35,50,,144,,TW,RZ
2018,9,9/14/2018,MESA,3,20-40,INSHORE,9,30,,144,,TW,RZ
2018,9,9/14/2018,MESA,3,20-40,INSHORE,4,20,,144,,TW,RZ
